abstract,title
"  We study the Casimir force in piston-like geometries semiclassically. The
force on the piston is finite and physical, but to leading semiclassical
approximation depends strongly on the shape of the surrounding cavity. Whereas
this force is attractive for pistons in a parallelepiped with flat cylinder
head, for which the semiclassical approximation by periodic orbits is exact,
this approximation to the force on the piston vanishes for a semi-cylindrical
head and becomes repulsive for a cylinder of circular cross section with a
hemispherical head. In leading semiclassical approximation the sign of the
force is related to the generalized Maslov index of short periodic orbits
between the piston and its casing.
",Weak and Repulsive Casimir Force in Piston Geometries
"  We study Fano manifolds of pseudoindex greater than one and dimension greater
than five, which are blow-ups of smooth varieties along smooth centers of
dimension equal to the pseudoindex of the manifold. We obtain a classification
of the possible cones of curves of these manifolds, and we prove that there is
only one such manifold without a fiber type elementary contraction.
",Fano manifolds and blow-ups of low-dimensional subvarieties
"  We consider a highly unconventional approach to generating muon and antimuon
bunches for a neutrino factory or muon collider: electron-positron annihilation
just above muon-antimuon threshold. This approach can produce low-emittance
bunches at high energy, easing the muon-cooling and acceleration challenges in
such facilities. However, the small (< 1 $\mu$b) useable production cross
section means that extraordinary beam-power and targeting challenges would have
to be met. We speculate on what this might entail.
","Producing an Intense, Cool Muon Beam via e+e- Annihilation"
"  We prove curvature estimates for general curvature functions. As an
application we show the existence of closed, strictly convex hypersurfaces with
prescribed curvature $F$, where the defining cone of $F$ is $\C_+$. $F$ is only
assumed to be monotone, symmetric, homogeneous of degree 1, concave and of
class $C^{m,\al}$, $m\ge4$.
",Curvature estimates for Weingarten hypersurfaces in Riemannian manifolds
"  We investigate the total spin in an individual single-wall carbon nanotube
quantum dot with various numbers of electrons in a shell by using the ratio of
the saturation currents of the first steps of Coulomb staircases for positive
and negative biases. The current ratio reflects the total-spin transition that
is increased or decreased when the dot is connected to strongly asymmetric
tunnel barriers. Our results indicate that total spin states with and without
magnetic fields can be traced by this method.
","Spin effects in single-electron transport through carbon nanotube
  quantum dots"
"  Light-front quantization of the conformally gauge-fixed Polyakov D1 brane
action with a scalar dilaton field is studied using the equal light-cone
world-sheet time framework.
","Light-Front Quantization of the Polyakov D1 Brane Action With a Scalar
  Dilaton Field"
"  Recently, the intrinsic sampling method has been developed in order to
obtain, from molecular simulations, the intrinsic structure of the liquid-vapor
interface that is presupposed in the classical capillary wave theory. Our
purpose here is to study dynamical processes at the liquid-vapor interface,
since this method allows tracking down and analyzing the movement of surface
molecules, thus providing, with great accuracy, dynamical information on
molecules that are ""at"" the interface. We present results for the coefficients
for diffusion parallel and perpendicular to the liquid-vapor interface of the
Lennard-Jones fluid, as well as other time and length parameters that
characterize the diffusion process in this system. We also obtain statistics of
permanence and residence time. The generality of our results is tested by
varying the system size and the temperature; for the later case, an existing
model for alkali metals is also considered. Our main conclusion is that, even
if diffusion coefficients can still be computed, the turnover processes, by
which molecules enter and leave the intrinsic surface, are as important as
diffusion. For example, the typical time required for a molecule to traverse a
molecular diameter is very similar to its residence time at the surface.
",Diffusion at the liquid-vapor interface
"  We report on progresses on the derivation of pure spinor constraints, BRST
algebra and BRST invariant sigma models a la pure spinors from the algebraic
structure of the FDA underlying supergravity.
","Free Differential Algebras, Rheonomy, and Pure Spinors"
"  We present integrated JHK_s 2MASS photometry and a compilation of
integrated-light optical photoelectric measurements for 84 star clusters in the
Magellanic Clouds. These clusters range in age from ~200 Myr to >10 Gyr, and
have [Fe/H] values from -2.2 to -0.1 dex. We find a spread in the intrinsic
colours of clusters with similar ages and metallicities, at least some of which
is due to stochastic fluctuations in the number of bright stars residing in
low-mass clusters. We use 54 clusters with the most reliable age and
metallicity estimates as test particles to evaluate the performance of four
widely used SSP models in the optical/NIR colour-colour space. All models
reproduce the reddening-corrected colours of the old (>10 Gyr) globular
clusters quite well, but model performance varies at younger ages. In order to
account for the effects of stochastic fluctuations in individual clusters, we
provide composite B-V, B-J, V-J, V-Ks and J-Ks colours for Magellanic Cloud
clusters in several different age intervals. The accumulated mass for most
composite clusters are higher than that needed to keep luminosity variations
due to stochastic fluctuations below the 10% level. The colours of the
composite clusters are clearly distinct in optical-NIR colour-colour space for
the following intervals of age: >10 Gyr, 2-9 Gyr, 1-2 Gyr, and 200 Myr-1 Gyr.
This suggests that a combination of optical plus NIR colours can be used to
differentiate clusters of different age and metallicity.
","A Comparison of Optical and Near-Infrared Colours of Magellanic Cloud
  Star Clusters with Predictions of Simple Stellar Population Models"
"  Fix an odd prime $p$. Let $G$ be a compact $p$-adic Lie group containing a
closed, normal, pro-$p$ subgroup $H$ which is abelian and such that $G/H$ is
isomorphic to the additive group of $p$-adic integers $\mathbbZ_p$ . First we
assume that $H$ is finite and compute the Whitehead group of the Iwasawa
algebra, $\Lambda(G)$, of $G$. We also prove some results about certain
localisation of $\Lambda(G)$ needed in Iwasawa theory. Let $F$ be a totally
real number field and let $F_{\infty}$ be an admissible $p$-adic Lie extension
of $F$ with Galois group $G$. The computation of the Whitehead groups are used
to show that the Main Conjecture for the extension $F_{\infty}/F$ can be
deduced from certain congruences between abelian $p$-adic zeta functions of
Delige and Ribet. We prove these congruences with certain assumptions on $G$.
This gives a proof of the Main Conjecture in many interesting cases such as
$\mathbb{Z}_p\rtimes
","Proof of the Main Conjecture of Noncommutative Iwasawa Theory for
  Totally Real Number Fields in Certain Cases"
"  Around 4% of O-stars are observed in apparent isolation, with no associated
cluster, and no indication of having been ejected from a nearby cluster. We
define an isolated O-star as a star > 17.5 M_\odot in a cluster with total mass
<100 M_\odot which contains no other massive (>10 M_\odot) stars. We show that
the fraction of apparently isolated O-stars is reproduced when stars are
sampled (randomly) from a standard initial mass function and a standard cluster
mass function of the form N(M) \propto M^-2.
  This result is difficult to reconcile with the idea that there is a
fundamental relationship between the mass of a cluster and the mass of the most
massive star in that cluster. We suggest that such a relationship is a typical
result of star formation in clusters, and that `isolated O-stars' are low-mass
clusters in which massive stars have been able to form.
",Do O-stars form in isolation?
"  There are (at least) three bijections from Dyck paths to 321-avoiding
permutations in the literature, due to Billey-Jockusch-Stanley, Krattenthaler,
and Mansour-Deng-Du. How different are they? Denoting them B,K,M respectively,
we show that M = B \circ L = K \circ L' where L is the classical
Kreweras-Lalanne involution on Dyck paths and L', also an involution, is a sort
of derivative of L. Thus K^{-1} \circ B, a measure of the difference between B
and K, is the product of involutions L' \circ L and turns out to be a very
curious bijection: as a permutation on Dyck n-paths it is an nth root of the
""reverse path"" involution. The proof of this fact boils down to a geometric
argument involving pairs of nonintersecting lattice paths.
",Bijections from Dyck paths to 321-avoiding permutations revisited
"  In applications for high-Tc superconducting DC-SQUIDs such as biomagnetism,
nondestructive evaluation and the relaxation of magnetic nanoparticles, it is
important to maintain reliable sensor performance over an extended time period.
We designed and produced DC-SQUID gradiometers based on YBCO thin films which
are inductively coupled to a flux transformer to achieve a higher sensitivity.
The gradiometers are protected against ambient atmosphere and humidity by SiO2
and amorphous YBCO layers.
  The noise properties of the sensor in flip-chip configuration, especially in
unshielded environments, are shown. We present a comparison of TBCCO thin films
on buffered sapphire or LaAlO3 substrates for the flux transformer in shielded
and unshielded environments. We reach a low white field gradient noise of 72
fT/(cm sqrt(Hz)) with the TBCCO on LaAlO3 flux transformer. The electric
properties of the gradiometers (critical current IC, normal state resistance RN
and the transfer function VPhi) were measured over a period of one year and do
not show significant signs of degradation.
","Long-time stable HTSC DC-SQUID gradiometers with silicon dioxide
  passivation for measurements with superconducting flux transformers"
"  Integrable and non-integrable systems have very different transport
properties. In this work, we highlight these differences for specific one
dimensional models of interacting lattice fermions using numerical exact
diagonalization. We calculate the finite temperature adiabatic stiffness (or
Drude weight) and isothermal stiffness (or ``Meissner'' stiffness) in
electrical and thermal transport and also compute the complete momentum and
frequency dependent dynamical conductivities $\sigma(q,\omega)$ and
$\kappa(q,\omega)$. The Meissner stiffness goes to zero rapidly with system
size for both integrable and non-integrable systems. The Drude weight shows
signs of diffusion in the non-integrable system and ballistic behavior in the
integrable system. The dynamical conductivities are also consistent with
ballistic and diffusive behavior in the integrable and non-integrable systems
respectively.
","Signatures of integrability in charge and thermal transport in 1D
  quantum systems"
"  Results of the CMS Silicon Strip Tracker performance are presented as
obtained in the setups where the tracker is being commissioned.
",Results from the Commissioning Run of the CMS Silicon Strip Tracker
"  A tree diagram is a tree with positive integral weight on each edge, which is
a notion generalized from the Dynkin diagrams of finite-dimensional simple Lie
algebras. We introduce two nilpotent Lie algebras and their extended solvable
Lie algebras associated with each tree diagram. The solvable tree diagram Lie
algebras turn out to be complete Lie algebras of maximal rank analogous to the
Borel subalgebras of finite-dimensional simple Lie algebras. Their abelian
ideals are completely determined. Using a high-order Campbell-Hausdorff formula
and certain abelian ideals of the tree diagram Lie algebras, we solve the
initial value problem of first-order evolution partial differential equations
associated with nilpotent tree diagram Lie algebras and high-order evolution
partial differential equations, including heat conduction type equations
related to generalized Tricomi operators associated with trees.
","Tree Diagram Lie Algebras of Differential Operators and Evolution
  Partial Differential Equations"
"  In the general context of computable metric spaces and computable measures we
prove a kind of constructive Borel-Cantelli lemma: given a sequence
(constructive in some way) of sets $A_{i}$ with effectively summable measures,
there are computable points which are not contained in infinitely many $A_{i}$.
  As a consequence of this we obtain the existence of computable points which
follow the \emph{typical statistical behavior} of a dynamical system (they
satisfy the Birkhoff theorem) for a large class of systems, having computable
invariant measure and a certain ``logarithmic'' speed of convergence of
Birkhoff averages over Lipshitz observables. This is applied to uniformly
hyperbolic systems, piecewise expanding maps, systems on the interval with an
indifferent fixed point and it directly implies the existence of computable
numbers which are normal with respect to any base.
","A constructive Borel-Cantelli Lemma. Constructing orbits with required
  statistical properties"
"  We give canonical matrices of a pair (A,B) consisting of a nondegenerate form
B and a linear operator A satisfying B(Ax,Ay)=B(x,y) on a vector space over F
in the following cases:
  (i) F is an algebraically closed field of characteristic different from 2 or
a real closed field, and B is symmetric or skew-symmetric;
  (ii) F is an algebraically closed field or the skew field of quaternions over
a real closed field, and B is Hermitian or skew-Hermitian with respect to any
nonidentity involution on F.
  We use a method that admits to reduce the problem of classifying an arbitrary
system of forms and linear mappings to the problem of classifying
representations of some quiver. This method was described in [V.V. Sergeichuk,
Math. USSR-Izv. 31 (1988) 481-501].
","Canonical matrices of isometric operators on indefinite inner product
  spaces"
"  We examine the effect of Landau level mixing on the braiding statistics of
quasiparticles of abelian and nonabelian quantum Hall states. While path
dependent geometric phases can perturb the abelian part of the statistics, we
find that the nonabelian properties remain unchanged to an accuracy that is
exponentially small in the distance between quasiparticles.
",Effect of Landau Level Mixing on Braiding Statistics
"  A geometric structure (FAP-structure), having both absolute parallelism and
Finsler properties, is constructed. The building blocks of this structures are
assumed to be functions of position and direction. A non-linear connection
emerges naturally and is defined in terms of the building blocks of the
structure. Two linear connections, one of Berwald type and the other of the
Cartan type, are defined using the non-linear connection of the FAP. Both
linear connections are non-symmetric and consequently admit torsion. A metric
tensor is defined in terms of the building blocks of the structure. The
condition for this metric to be a Finslerian one is obtained. Also, the
condition for an FAP-space to be an AP-one is given.
",An Ap-Structure with Finslerian Flavor: I
"  In this paper, we study convolutional codes with a specific cyclic structure.
By definition, these codes are left ideals in a certain skew polynomial ring.
Using that the skew polynomial ring is isomorphic to a matrix ring we can
describe the algebraic parameters of the codes in a more accessible way. We
show that the existence of such codes with given algebraic parameters can be
reduced to the solvability of a modified rook problem. It is our strong belief
that the rook problem is always solvable, and we present solutions in
particular cases.
",A Matrix Ring Description for Cyclic Convolutional Codes
"  We consider the asymptotic behavior as $n\to\infty$ of the spectra of random
matrices of the form \[\frac{1}{\sqrt{n-1}}\sum_{k=1}^{n-1}Z_{nk}\rho_n
((k,k+1)),\] where for each $n$ the random variables $Z_{nk}$ are i.i.d.
standard Gaussian and the matrices $\rho_n((k,k+1))$ are obtained by applying
an irreducible unitary representation $\rho_n$ of the symmetric group on
$\{1,2,...,n\}$ to the transposition $(k,k+1)$ that interchanges $k$ and $k+1$
[thus, $\rho_n((k,k+1))$ is both unitary and self-adjoint, with all eigenvalues
either +1 or -1]. Irreducible representations of the symmetric group on
$\{1,2,...,n\}$ are indexed by partitions $\lambda_n$ of $n$. A consequence of
the results we establish is that if $\lambda_{n,1}\ge\lambda_{n,2}\ge...\ge0$
is the partition of $n$ corresponding to $\rho_n$, $\mu_{n,1}\ge\mu_{n,2}\ge
>...\ge0$ is the corresponding conjugate partition of $n$ (i.e., the Young
diagram of $\mu_n$ is the transpose of the Young diagram of $\lambda_n$),
$\lim_{n\to\infty}\frac{\lambda_{n,i}}{n}=p_i$ for each $i\ge1$, and
$\lim_{n\to\infty}\frac{\mu_{n,j}}{n}=q_j$ for each $j\ge1$, then the spectral
measure of the resulting random matrix converges in distribution to a random
probability measure that is Gaussian with random mean $\theta Z$ and variance
$1-\theta^2$, where $\theta$ is the constant $\sum_ip_i^2-\sum_jq_j^2$ and $Z$
is a standard Gaussian random variable.
","Spectra of random linear combinations of matrices defined via
  representations and Coxeter generators of the symmetric group"
"  By means of low-temperature expansions (LTEs), the nucleation free energy and
the precipitate interface free energy are expressed as functions of the
solubility limit for alloys which lead to the precipitation of a stoichiometric
L12 compound such as Al-Sc or Al-Zr alloys. Classical nucleation theory is then
used to obtain a simple expression of the nucleation rate whose validity is
demonstrated by a comparison with atomic simulations. LTEs also explain why
simple mean-field approximation like the Bragg-Williams approximation fails to
predict correct nucleation rates in such an ordering alloy.
","Classical nucleation theory in ordering alloys precipitating with L12
  structure"
"  The letter proposes a procedure for generation of strongly chaotic beats that
have been hardly obtainable hitherto. The beats are generated in a nonlinear
optical system governing second-harmonic generation of light. The proposition
is based on the concept of an optical coupler but can be easily adopted to
other nonlinear systems and Chua's circuits.
",Generation of strongly chaotic beats
"  We calculate the inclusive cross section of double Z-boson production within
large extra dimensions at the Large Hadron Collider (LHC). Using perturbatively
quantized gravity in the ADD model we perform a first order calculation of the
graviton mediated contribution to the pp to ZZ cross section. At low energies
(e.g. Tevatron) this additional contribution is very small, making it virtually
unobservable, for a fundamental mass scale above 2500 GeV. At LHC energies
however, the calculation indicates that the ZZ-production rate within the ADD
model should differ significantly from the Standard Model if the new
fundamental mass scale would be below 15000 GeV. A comparison with the observed
production rate at the LHC might therefore provide direct hints on the number
and structure of the extra dimensions.
","First Order Calculation of the Inclusive Cross Section pp to ZZ by
  Graviton Exchange in Large Extra Dimensions"
"  If the next fundamental level of matter occurs (preons) then dark matter must
consist of familons containing a ""hot"" component from massless particles and a
""cold"" component from massive particles. During evolution of the Universe this
dark matter was undergone to late-time relativistic phase transitions
temperatures of which were different. Fluctuations created by these phase
transitions have had a fractal character. In the result the structurization of
dark matter (and therefore the baryon subsystem) has taken place and in the
Universe some characteristic scales which have printed this phenomenon arise
naturally. Familons are collective excitations of nonperturbative preon
condensates which could be produced during more early relativistic phase
transition. For structurization of dark matter (and baryon component) three
generations of particles are necessary. The first generation of particles has
produced the observed baryon world. The second and third generations have
produced dark matter from particles which have appeared when symmetry among
generations was spontaneously broken.
",Familon Model of Dark Matter
"  A recent study revealed the dynamics of the charge sector of a
one-dimensional quarter-filled electronic system with extended Hubbard
interactions to be that of an effective pseudospin transverse-field Ising model
(TFIM) in the strong coupling limit. With the twin motivations of studying the
co-existing charge and spin order found in strongly correlated chain systems
and the effects of inter-chain couplings, we investigate the phase diagram of
coupled effective (TFIM) systems. A bosonisation and RG analysis for a two-leg
TFIM ladder yields a rich phase diagram showing Wigner/Peierls charge order and
Neel/dimer spin order. In a broad parameter regime, the orbital
antiferromagnetic phase is found to be stable. An intermediate gapless phase of
finite width is found to lie in between two charge-ordered gapped phases.
Kosterlitz-Thouless transitions are found to lead from the gapless phase to
either of the charge-ordered phases. A detailed analysis is also carried out
for the dimensional crossover physics when many such pseudospin systems are
coupled to one another. Importantly, the analysis reveals the key role of
critical quantum fluctuations in driving the strong dispersion in the
transverse directions, as well as a T=0 deconfinement transition. Our work is
potentially relevant for a unified description of a class of strongly
correlated, quarter-filled chain and ladder systems.
","From frustrated insulators to correlated anisotropic metals: charge
  ordering and quantum criticality in coupled chain systems"
"  The cross-couplings among several massless spin-two fields (described in the
free limit by a sum of Pauli-Fierz actions) in the presence of a Dirac field
are investigated in the framework of the deformation theory based on local BRST
cohomology. Under the hypotheses of locality, smoothness of the interactions in
the coupling constant, Poincare invariance, (background) Lorentz invariance and
the preservation of the number of derivatives on each field, we prove that
there are no consistent cross-interactions among different gravitons in the
presence of a Dirac field. The basic features of the couplings between a single
Pauli-Fierz field and a Dirac field are also emphasized.
",No multi-graviton theories in the presence of a Dirac field
"  Computability logic (CL) (see http://www.cis.upenn.edu/~giorgi/cl.html) is a
semantical platform and research program for redeveloping logic as a formal
theory of computability, as opposed to the formal theory of truth which it has
more traditionally been. Formulas in CL stand for (interactive) computational
problems, understood as games between a machine and its environment; logical
operators represent operations on such entities; and ""truth"" is understood as
existence of an effective solution, i.e., of an algorithmic winning strategy.
  The formalism of CL is open-ended, and may undergo series of extensions as
the study of the subject advances. The main groups of operators on which CL has
been focused so far are the parallel, choice, branching, and blind operators.
The present paper introduces a new important group of operators, called
sequential. The latter come in the form of sequential conjunction and
disjunction, sequential quantifiers, and sequential recurrences. As the name
may suggest, the algorithmic intuitions associated with this group are those of
sequential computations, as opposed to the intuitions of parallel computations
associated with the parallel group of operations: playing a sequential
combination of games means playing its components in a sequential fashion, one
after one.
  The main technical result of the present paper is a sound and complete
axiomatization of the propositional fragment of computability logic whose
vocabulary, together with negation, includes all three -- parallel, choice and
sequential -- sorts of conjunction and disjunction. An extension of this result
to the first-order level is also outlined.
",Sequential operators in computability logic
"  We consider an N=2 supersymmetric SU(2) \times U(1) gauge theory with N_f=2
massless flavors and a Fayet-Iliopoulos (FI) term. In the presence of the FI
term, supersymmetry is spontaneously broken at tree level (on the Coulomb
branch), leaving a pseudo-flat direction in the classical potential. This
vacuum degeneracy is removed once quantum corrections are taken into account.
Due to the SU(2) gauge dynamics, the effective potential exhibits a local
minimum at the dyon point, where not only supersymmetry but also U(1)_R
symmetry is broken, while a supersymmetric vacuum would be realized toward
infinity with the runaway behavior of the potential. This local minimum is
found to be parametrically long-lived. Interestingly, from a phenomenological
point of view, in this meta-stable vacuum the massive hypermultiplets inherent
in the theory play the role of the messenger fields in the gauge mediation
scenario, when the Standard Model gauge group is embedded into their flavor
symmetry.
","Meta-stable Vacuum in Spontaneously Broken N=2 Supersymmetric Gauge
  Theory"
"  We consider nonuniform black strings inside their event horizon. We present
numerical evidence, that the singularity touches the horizon as the horizon
topology changing transition is reached.
",Interior of Nonuniform Black Strings
"  In this paper we prove the existence of a solution for reflected BSDE's\
whose coefficient is of quadratic growth in $z$ and of linear growth in $y$,
with an unbounded terminal value.
",Reflected BSDE with quadratic growth and unbounded terminal value
"  The Schramm-Loewner evolution (SLE) is a powerful tool to describe fractal
interfaces in 2D critical statistical systems. Yet the application of SLE is
well established for statistical systems described by quantum field theories
satisfying only conformal invariance, the so called minimal conformal field
theories (CFTs). We consider interfaces in Z(N) spin models at their self-dual
critical point for N=4 and N=5. These lattice models are described in the
continuum limit by non-minimal CFTs where the role of a Z_N symmetry, in
addition to the conformal one, should be taken into account. We provide
numerical results on the fractal dimension of the interfaces which are SLE
candidates for non-minimal CFTs. Our results are in excellent agreement with
some recent theoretical predictions.
","Numerical study on Schramm-Loewner Evolution in nonminimal conformal
  field theories"
"  Consider the gradient map associated to any non-constant homogeneous
polynomial $f\in \C[x_0,...,x_n]$ of degree $d$, defined by \[\phi_f=grad(f):
D(f)\to \CP^n, (x_0:...:x_n)\to (f_0(x):...:f_n(x))\] where $D(f)=\{x\in \CP^n;
f(x)\neq 0\}$ is the principal open set associated to $f$ and
$f_i=\frac{\partial f}{\partial x_i}$. This map corresponds to polar Cremona
transformations. In Proposition \ref{p1} we give a new lower bound for the
degree $d(f)$ of $\phi_f$ under the assumption that the projective hypersurface
$V:f=0 $ has only isolated singularities. When $d(f)=1$, Theorem \ref{t4}
yields very strong conditions on the singularities of $V$.
",Polar Cremona Transformations and Monodromy of Polynomials
"  Electron-electron interactions play a major role in determining the
low-temperature rate of phase loss of electrons in mesoscopic systems. The
study of the dephasing rate is expected to contribute to the understanding of
the many-body nature of such systems. Closed quantum dots are of special
interest in this respect, due to theoretical predictions suggesting a possible
transition temperature below which the dephasing rate vanishes. This prediction
has attracted much attention, since closed quantum dots are prime candidates
for storage units in quantum computers, and thus their phase coherence
properties are of great importance. However, an effective method for measuring
the dephasing rate within a closed quantum dot is still lacking. Here we study
two-level systems and show that the Fano factor has a sharp peak as a function
of the chemical potential, the location of which can be simply related to the
dephasing rate. We thus suggest to use the properties of the Fano factor peak
in the super-Poissonian regime as a probe for the dephasing rate.
","Super-Poissonian Shot Noise as a Measure of Dephasing in Closed Quantum
  Dots"
"  This paper introduces $\anabla$-tensors on lightlike hypersurfaces $M^{n+1}$
of signature $(0,n)$, $(n\geq 1)$ and investigates on their properties in
connection with the null geometry of $M$. In particular, we show that there is
an interplay between existence of $\anabla$-tensors of certain type and
lightlike warped product structures.
",$A^\nabla$-tensors on lightlike hypersurfaces
"  The absolute frequencies of the hyperfine components of the R(26) 62-0
transition in molecular iodine at 501.7 nm are measured for the first time with
an optical clockwork based on a femtosecond laser frequency comb generator. The
set-up is composed of an Ar+ laser locked to a hyperfine component of the R(26)
62-0 transition detected in a continuously pumped low-pressure cell (0.33 Pa).
The detected resonances show a linewidth of 45 kHz (half-width at
half-maximum). The uncertainty of the frequency measurement is estimated to be
250 Hz.
","Absolute frequency measurements for hyperfine structure determination of
  the R(26) 62-0 transition at 501.7 nm in molecular iodine"
"  We propose a method of manipulating selectively the symmetric Dicke subspace
in the internal degrees of freedom of N trapped ions. We show that the direct
access to ionic-motional subspaces, based on a suitable tuning of
motion-dependent AC Stark shifts, induces a two-level dynamics involving
previously selected ionic Dicke states. In this manner, it is possible to
produce, sequentially and unitarily, ionic Dicke states with increasing
excitation number. Moreover, we propose a probabilistic technique to produce
directly any ionic Dicke state assuming suitable initial conditions.
",Selective Control of the Symmetric Dicke Subspace in Trapped Ions
"  We study a Hamiltonian describing a pendulum coupled with several
anisochronous oscillators, devising an asymptotic expansion for the splitting
(matrix) associated with a homoclinic point. This expansion consists of
contributions that are manifestly exponentially small in the limit of vanishing
hyperbolicity, by a shift-of-contour argument. Hence, we infer a similar upper
bound on the splitting itself.
","Asymptotic Expansion of the Homoclinic Splitting Matrix for the Rapidly,
  Quasiperiodically, Forced Pendulum"
"  In this paper, we consider a dynamical system related to the Yang-Mills
system for a field with gauge group SU(2). We solve this system in terms of
genus two hyperelliptic functions and we show that it is algebraic completely
integrable in the generalized sense.
",The Yang Mills system and cyclic covering of abelian varieties
"  Functionalization of carbon nanotubes with hydrosoluble porphyrins (TPPS) is
achieved by ""$\pi$-stacking"". The porphyrin/nanotube interaction is studied by
means of optical absorption, photoluminescence and photoluminescence excitation
spectroscopies. The main absorption line of the porphyrins adsorbed on
nanotubes exhibits a 120 meV red shift, which we ascribe to a flattening of the
molecule in order to optimize $\pi-\pi$ interactions. The porphyrin-nanotube
complex shows a strong quenching of the TPPS emission while the
photoluminescence intensity of the nanotubes is enhanced when the excitation
laser is in resonance with the porphyrin absorption band. This reveals an
efficient excitation transfer from the TPPS to the carbon nanotube.
","Excitation transfer and luminescence in porphyrin-carbon nanotube
  complexes"
"  A systematic expansion of the Boltzmann equation for the diffusion of dilute
tracers, in powers of the Knudsen number, carried out to next-to-leading order
(NLO), gives the relativistic causal diffusion equation (Kelly's equation).
Using dimensionless combinations of dynamical quantities, we show when the
small NLO term plays a crucially important role. We proceed to show that a
derivation of Kelly's equation from a microscopic theory of the correlation
function of the number density of diffusers is possible. The correlator fulfils
the Green-Kubo relation for the diffusion constant, as well as an f-sum which
goes beyond a purely phenomenological causal theory. We argue that the
construction generalizes to the full hydrodynamic equations.
",A systematic expansion for relativistic causal hydrodynamics
"  We point out that, if one accepts the validity of quantum mechanics, the Bell
parameter for the polarization state of two photons can be measured in a
simpler way than by the standard procedure [Clauser, Horne, Shimony, and Holt,
Phys. Rev. Lett. 23, 880 (1969)]. The proposed method requires only two
measurements with parallel linear-polarizer settings for Alice and Bob at 0 and
45 degrees, and yields a significantly smaller statistical error for a large
Bell parameter.
",Simplified measurement of the Bell parameter within quantum mechanics
"  We give a geometric criterion for the breakdown of an Einstein vacuum
space-time foliated by a constant mean curvature, or maximal, foliation. More
precisely we show that the foliated space-time can be extended as long as the
the second fundamental form and the first derivatives of the logarithm of the
lapse of the foliation remain uniformly bounded. No restrictions on the size of
the initial data are made.
",On the breakdown criterion in General Relativity
"  We present analysis of archival data from multiple XMM-Newton observations of
the Seyfert 1 galaxy NGC 4151. Spectral data from the RGS instruments reveal
several strong soft X-ray emission lines, chiefly from hydrogen-like and
helium-like oxygen, nitrogen, neon and carbon. Radiative recombination continua
(RRC) from oxygen and carbon are also detected. Our analysis suggests that the
emission data are consistent with photoionization. Using the CLOUDY
photoionization code, we found that, while a two-component, high column density
model (10e23 cm-2) with low covering factor proved adequate in reproducing all
detected Lyman series lines, it proved insufficient in modeling He-like
triplets observed (neon, oxygen, and nitrogen). If resonance line data were
ignored, the two-component model was sufficient to match flux from
intercombination and forbidden lines. However, with the inclusion of resonance
line data, He-like triplets could no longer be modeled with only two
components. We found that observed oxygen G and R ratios especially were
anomalous in parameter space investigated. We investigated, and were forced to
dismiss, the possibility that a third purely collisional component could be
responsible for enhanced resonance line contributions. We succeeded in modeling
the observed spectrum with the addition of a third, lower column density
(10e20.5 cm-2) component with non-zero microturbulence and high covering
factor. While sufficient to reproduce observed soft X-ray flux, our model faces
certain shortcomings, particularly in a less-than-ideal visual fit to the line
profile. Two of the three emission model components bear similarities to
components determined by Kraemer et al. (2005) in their study of NGC 4151
absorption spectra.
",A Photoionization Model For The Soft X-Ray Spectrum Of NGC 4151
"  In predicate abstraction, exact image computation is problematic, requiring
in the worst case an exponential number of calls to a decision procedure. For
this reason, software model checkers typically use a weak approximation of the
image. This can result in a failure to prove a property, even given an adequate
set of predicates. We present an interpolant-based method for strengthening the
abstract transition relation in case of such failures. This approach guarantees
convergence given an adequate set of predicates, without requiring an exact
image computation. We show empirically that the method converges more rapidly
than an earlier method based on counterexample analysis.
",Interpolant-Based Transition Relation Approximation
"  The extreme eigenvalues of connectivity matrices govern the influence of the
network structure on a number of network dynamical processes. A fundamental
open question is whether the eigenvalues of large networks are well represented
by ensemble averages. Here we investigate this question explicitly and validate
the concept of ensemble averageability in random scale-free networks by showing
that the ensemble distributions of extreme eigenvalues converge to peaked
distributions as the system size increases. We discuss the significance of this
result using synchronization and epidemic spreading as example processes.
",Ensemble averageability in network spectra
"  We investigate the problem of detecting the presence of clandestine neutron
sources, such as would be produced by nuclear weapons containing plutonium,
within cargo containers. Small, simple and economical semiconductor photodiode
detectors affixed to the outsides of containers are capable of producing
statistically robust detections of unshielded sources when their output is
integrated over the durations of ocean voyages. It is possible to shield such
sources with thick layers of neutron-absorbing material, and to minimize the
effects of such absorbers on ambient or artificial external neutron fluxes by
surrounding them with neutron-reflective material.
",Detection of Neutron Sources in Cargo Containers
"  This paper complements a new lattice formulation of SU(2) Yang-Mills theory
written in terms of new variables in a compact form proposed in the previous
paper. The new variables used in the formulation were once called the
Cho--Faddeev--Niemi or Cho--Faddeev--Niemi--Shabanov decomposition. Our
formulation enables us to explain the infrared ``Abelian'' dominance, in
addition to magnetic monopole dominance shown in the previous paper, in the
gauge invariant way without relying on the specific gauge fixing called the
maximal Abelian gauge used in the conventional investigations. In this paper,
especially, we demonstrate by numerical simulations that gluon degrees of
freedom other than the ``Abelian'' part acquire the mass to be decoupled in the
low-energy region leading to the infrared Abelian dominance.
","Compact lattice formulation of Cho-Faddeev-Niemi decomposition: gluon
  mass generation and infrared Abelian dominance"
